COU,Country,VAR,Variable,CO2,Country of origin,YEA,Year,Value,Flag Codes,Flags
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,ROU,Romania,2018,2018,334,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,ROU,Romania,2018,2018,1129,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,ROU,Romania,2018,2018,12,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,ROU,Romania,2018,2018,1636,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,ROU,Romania,2018,2018,3,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,1,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,22,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,254,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,234,,
FRA,France,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,301,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,2091,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,213,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,49,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,53,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,255,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,106,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,453,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,73,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,97,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,5896,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,RUS,Russian Federation,2018,2018,9,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,RWA,Rwanda,2018,2018,3,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,RWA,Rwanda,2018,2018,4,,
FRA,France,FTDS,Foreign-trained doctors - Stock,RWA,Rwanda,2018,2018,11,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,RWA,Rwanda,2018,2018,4,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,KNA,Saint Kitts and Nevis,2018,2018,175,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,KNA,Saint Kitts and Nevis,2018,2018,23,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,LCA,Saint Lucia,2018,2018,28,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,LCA,Saint Lucia,2018,2018,9,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,VCT,Saint Vincent and the Grenadines,2018,2018,13,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,WSM,Samoa,2018,2018,1,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SMR,San Marino,2018,2018,0,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,STP,Sao Tome and Principe,2018,2018,0,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,SAU,Saudi Arabia,2018,2018,4,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SAU,Saudi Arabia,2018,2018,348,,
FRA,France,FTDS,Foreign-trained doctors - Stock,SAU,Saudi Arabia,2018,2018,1,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SAU,Saudi Arabia,2018,2018,411,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,SAU,Saudi Arabia,2018,2018,25,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SAU,Saudi Arabia,2018,2018,19,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SEN,Senegal,2018,2018,5,,
FRA,France,FTDS,Foreign-trained doctors - Stock,SEN,Senegal,2018,2018,89,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SEN,Senegal,2018,2018,1,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,SEN,Senegal,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SEN,Senegal,2018,2018,2,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SYC,Seychelles,2018,2018,0,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SYC,Seychelles,2018,2018,2,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SLE,Sierra Leone,2018,2018,9,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SLE,Sierra Leone,2018,2018,1,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,SLE,Sierra Leone,2018,2018,3,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SLE,Sierra Leone,2018,2018,19,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,9,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,82,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,3,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,1364,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,53,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,6,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,22,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,149,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,63,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,104,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,SRB,Serbia,2018,2018,412,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SGP,Singapore,2018,2018,26,,
FRA,France,FTDS,Foreign-trained doctors - Stock,SGP,Singapore,2018,2018,1,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SGP,Singapore,2018,2018,6,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SGP,Singapore,2018,2018,29,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SGP,Singapore,2018,2018,26,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,105,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,21,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,62,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,2218,,
FRA,France,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,49,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,1036,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,51,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,74,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,5,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,407,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,45,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,184,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,SVK,Slovak Republic,2018,2018,4,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,50,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,5,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,1,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,67,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,1,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,3,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,7,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,18,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,24,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,SVN,Slovenia,2018,2018,44,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SOM,Somalia,2018,2018,6,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SOM,Somalia,2018,2018,4,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SOM,Somalia,2018,2018,0,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,SOM,Somalia,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SOM,Somalia,2018,2018,2,,
AUS,Australia,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,1846,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,59,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,2651,,
FRA,France,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,2,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,19,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,734,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,717,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,4,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,15,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,1298,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,1,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,ZAF,South Africa,2018,2018,121,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,13,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,313,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,69,,
FRA,France,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,713,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,531,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,108,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,26,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,54,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,180,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,736,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,111,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,1,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,ESP,Spain,2018,2018,61,,
AUS,Australia,FTDS,Foreign-trained doctors - Stock,LKA,Sri Lanka,2018,2018,1659,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,LKA,Sri Lanka,2018,2018,238,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,LKA,Sri Lanka,2018,2018,27,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,LKA,Sri Lanka,2018,2018,7,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,LKA,Sri Lanka,2018,2018,121,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,LKA,Sri Lanka,2018,2018,13,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,LKA,Sri Lanka,2018,2018,1200,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,4,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,64,,
FRA,France,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,3,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,76,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,1295,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,14,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,8,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SDN,Sudan,2018,2018,936,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,SUR,Suriname,2018,2018,6,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,SUR,Suriname,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SWZ,Swaziland,2018,2018,1,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SWZ,Swaziland,2018,2018,0,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,9,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,9,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,13,,
FRA,France,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,22,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,80,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,4,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,23,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,587,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,23,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,47,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,4,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,6,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,SWE,Sweden,2018,2018,7,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,57,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,61,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,77,,
FRA,France,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,102,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,208,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,1,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,7,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,13,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,25,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,54,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,7,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,CHE,Switzerland,2018,2018,30,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,16,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,147,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,6,,
FRA,France,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,1000,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,3647,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,2,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,67,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,7,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,19,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,31,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,391,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,4,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,SYR,Syria,2018,2018,182,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TJK,Tajikistan,2018,2018,1,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,TJK,Tajikistan,2018,2018,2,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,TJK,Tajikistan,2018,2018,25,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,TJK,Tajikistan,2018,2018,2,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TJK,Tajikistan,2018,2018,6,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,TJK,Tajikistan,2018,2018,32,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,THA,Thailand,2018,2018,9,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,THA,Thailand,2018,2018,10,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,THA,Thailand,2018,2018,0,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,THA,Thailand,2018,2018,7,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,TGO,Togo,2018,2018,3,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TGO,Togo,2018,2018,1,,
FRA,France,FTDS,Foreign-trained doctors - Stock,TGO,Togo,2018,2018,140,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,TGO,Togo,2018,2018,4,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,TGO,Togo,2018,2018,2,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TTO,Trinidad and Tobago,2018,2018,29,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,TTO,Trinidad and Tobago,2018,2018,7,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,TTO,Trinidad and Tobago,2018,2018,2,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,TTO,Trinidad and Tobago,2018,2018,1,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,TUN,Tunisia,2018,2018,11,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TUN,Tunisia,2018,2018,54,,
FRA,France,FTDS,Foreign-trained doctors - Stock,TUN,Tunisia,2018,2018,834,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,TUN,Tunisia,2018,2018,428,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,TUN,Tunisia,2018,2018,33,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TUN,Tunisia,2018,2018,16,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,TUN,Tunisia,2018,2018,6,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,13,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,56,,
FRA,France,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,29,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,986,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,4,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,5,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,5,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,14,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,58,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,107,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,TUR,Turkey,2018,2018,38,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,TKM,Turkmenistan,2018,2018,16,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TKM,Turkmenistan,2018,2018,4,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,UGA,Uganda,2018,2018,70,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,UGA,Uganda,2018,2018,13,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,UGA,Uganda,2018,2018,0,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,UGA,Uganda,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,UGA,Uganda,2018,2018,52,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,7,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,142,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,564,,
FRA,France,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,95,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,1397,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,374,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,45,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,17,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,100,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,36,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,330,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,12,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,75,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,1387,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,UKR,Ukraine,2018,2018,4,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,ARE,United Arab Emirates,2018,2018,34,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,ARE,United Arab Emirates,2018,2018,37,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,ARE,United Arab Emirates,2018,2018,15,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,ARE,United Arab Emirates,2018,2018,92,,
AUS,Australia,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,5892,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,15,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,91,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,2118,,
FRA,France,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,81,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,194,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,766,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,3092,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,143,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,48,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,10,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,3,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,GBR,United Kingdom,2018,2018,209,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,TZA,United Republic of Tanzania,2018,2018,14,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,TZA,United Republic of Tanzania,2018,2018,4,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,TZA,United Republic of Tanzania,2018,2018,5,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,TZA,United Republic of Tanzania,2018,2018,3,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,TZA,United Republic of Tanzania,2018,2018,1,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,TZA,United Republic of Tanzania,2018,2018,37,,
AUS,Australia,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,165,,
AUT,Austria,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,2,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,4,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,1218,,
FRA,France,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,7,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,243,,
HUN,Hungary,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,2,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,41,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,408,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,11,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,86,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,64,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,5,,
EST,Estonia,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,1,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,USA,United States,2018,2018,481,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,2,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,6,,
FRA,France,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,12,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,3,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,2,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,3,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,2,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,7,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,3,,
CHL,Chile,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,347,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,URY,Uruguay,2018,2018,39,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,8,,
CZE,Czech Republic,FTDS,Foreign-trained doctors - Stock,UZB,Uzbekistan,2018,2018,17,,
